Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",,,,,,,,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",,,,,,,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A,Q16B,"Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)",Q18_1,Q18_2,Q18_3,OE_Quality_Flag
2689,10/23/2024 19:26,10/23/2024 19:44,63,Male,Suburban / just outside of a city,"$70,000 to $79,999",Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Somewhat Relevant,Extremely Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,Homegrown ingredients and organic,The product looks great.,Be used in addition to products you are currently using,,,,0
2709,10/23/2024 22:20,10/23/2024 22:31,63,Female,Big city,"Less than $20,000",Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Very Believable,About Average,Probably Would Buy,Once a Week,I love lagersand I like the fact that it's an extra light lager.,"it's possible, it may be too light and feel too watery.",Sometimes replace products you are currently drinking,Corona Light,Stella Artrois,Coors Light,0
2719,10/24/2024 6:49,10/24/2024 6:56,54,Female,Suburban / just outside of a city,"$100,000 to $149,999",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Week,Everything about it,Nothing,Be used in addition to products you are currently using,,,,1
2749,10/24/2024 11:48,10/24/2024 11:58,55,Male,Rural / distant or remote,"$50,000 to $59,999",Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Slightly Different,Somewhat Believable,Somewhat Expensive,May or May Not Buy,Once a Month,Half price on the 1st of every month,No built in insulator to keep it cold,Be used in addition to products you are currently using,,,,1
2756,10/24/2024 11:57,10/24/2024 12:10,51,Female,Suburban / just outside of a city,"Less than $20,000",Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Once Every 2-3 Months,The taste,Nothing,Sometimes replace products you are currently drinking,Budwizer,Bush,Corsa,0
2761,10/24/2024 12:11,10/24/2024 12:21,31,Female,Big city,"$150,000 or more",Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Once a Month,It’s low calorie and low carb,It may taste too watered down,Sometimes replace products you are currently drinking,Old Style,Stella,Coors,0
2796,10/24/2024 12:42,10/24/2024 12:53,63,Female,Suburban / just outside of a city,"$70,000 to $79,999",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once Every 2 to 3 Weeks,it's low carb and light,I dislike nothing,Sometimes replace products you are currently drinking,Michelob light,natural light,Michelob ultra,0
2850,10/24/2024 13:03,10/24/2024 13:16,29,Female,Big city,"$70,000 to $79,999",Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,I like that it has low calories and carbs.,It doesn't really say how it's different than any other brand or version of this.,Sometimes replace products you are currently drinking,Bud Light,Michelob Ultra,Hard Cider,0
2898,10/24/2024 13:31,10/24/2024 13:35,38,Male,Suburban / just outside of a city,"$40,000 to $49,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,Very Inexpensive,Definitely Would Buy,Daily/Nightly,I just like it.,I love it all.,Be used in addition to products you are currently using,,,,0
2937,10/24/2024 13:26,10/24/2024 13:46,58,Male,Suburban / just outside of a city,"$40,000 to $49,999",Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Somewhat Relevant,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,Somewhat Inexpensive,May or May Not Buy,Once Every 2-3 Months,Low calories and carbs,Low % ABV,Be used in addition to products you are currently using,,,,0
2944,10/24/2024 13:44,10/24/2024 13:48,25,Male,Suburban / just outside of a city,"$80,000 to $89,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Neutral,Somewhat Appealing,Somewhat Different,Not Very Believable,Somewhat Expensive,Probably Would Buy,Once a Week,I enjoy the brand. Good idea.,No,Sometimes replace products you are currently drinking,Bud Light,No,no,1
2979,10/24/2024 13:40,10/24/2024 13:55,38,Female,Rural / distant or remote,"$60,000 to $69,999",Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once Every 2 to 3 Weeks,Low Carb,Dislike nothing,Sometimes replace products you are currently drinking,michelob ultra,n/a,n/a,0
3019,10/24/2024 13:47,10/24/2024 14:02,29,Female,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Neutral,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Less Often Than Every 6 Months,Low cal and carbs,Price,Sometimes replace products you are currently drinking,Miller Light,NA,NA,0
3050,10/24/2024 13:49,10/24/2024 14:09,62,Male,Suburban / just outside of a city,"Less than $20,000",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Very Irrelevant,Somewhat Unappealing,Extremely Different,Somewhat Believable,About Average,Definitely Would Not Buy,Never,Nothing,Everything - does not look appealing at all,Be used in addition to products you are currently using,,,,0
3099,10/24/2024 14:00,10/24/2024 14:23,59,Female,Suburban / just outside of a city,"$30,000 to $39,999",Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,Love the package it's low calorie great description of the beer,No dislikes,Be used in addition to products you are currently using,,,,0
3136,10/24/2024 14:29,10/24/2024 14:39,52,Male,Big city,"$150,000 or more",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,Very Expensive,Definitely Would Buy,Daily/Nightly,It is very tasty,It is sometime worth,Totally replace products you are currently drinking,Hinekone,Hyatt,Walmart,0
3165,10/24/2024 14:48,10/24/2024 15:08,31,Male,Big city,"$90,000 to $99,999",Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Somewhat Relevant,Extremely Appealing,Somewhat Different,Somewhat Believable,Somewhat Inexpensive,Probably Would Buy,Once a Month,The golden color makes it look like it tastes very good,It doesn't really differentiate itself from any of the other beers like this. But that's not a deal breaker on my end,Sometimes replace products you are currently drinking,Coors Light,Bud Light,Corona,0
3198,10/24/2024 16:17,10/24/2024 16:36,37,Female,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Somewhat Relevant,Extremely Appealing,Very Different,Somewhat Believable,Somewhat Expensive,Definitely Would Buy,Once Every 2-3 Months,Has a good taste,No available everywhere,Be used in addition to products you are currently using,,,,0
3216,10/24/2024 18:04,10/24/2024 18:15,47,Female,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Slightly Different,Somewhat Believable,About Average,May or May Not Buy,Two or Three Days/Nights a Week,Low calorie and low carb.,Nothing,Sometimes replace products you are currently drinking,Miller light,Corona premiere,Michelob ultra,0
